wkt_geom,ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
Point (127.04601399999999956 37.5413819999999987),100100420,6013,45,103000085,4184,경일초등학교입구,127.046014,37.541382
Point (127.06666289999999719 37.54727766999999972),110000004,8146,50,103000108,4207,화양사거리,127.0666629,37.54727767
Point (127.06415300000000457 37.54282500000000056),110000004,8146,51,103000109,4208,성수사거리.성수초등학교,127.064153,37.542825
Point (127.06327500000000441 37.54126300000000072),110000004,8146,52,103000110,4209,서울효사랑병원,127.063275,37.541263
Point (127.06229860000000542 37.53969985999999892),110000004,8146,53,103000091,4190,경수중학교,127.0622986,37.53969986
Point (127.06074200000000474 37.53694500000000289),110000004,8146,54,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.05115499999999429 37.54589500000000157),103900008,성동10,1,103900299,4547,경동초등학교입구,127.051155,37.545895
Point (127.05458199999999636 37.54478799999999694),103900008,성동10,2,103900215,4253,성수역4번출구,127.054582,37.544788
Point (127.05962100000000703 37.54336299999999937),103900008,성동10,3,103900048,4577,경수중학교입구,127.059621,37.543363
Point (127.06554730000000575 37.54834119000000214),103900008,성동10,8,103900093,4597,왕약국,127.0655473,37.54834119
Point (127.06666289999999719 37.54727766999999972),103900008,성동10,15,103000108,4207,화양사거리,127.0666629,37.54727767
Point (127.06558499999999867 37.54581799999999703),103900008,성동10,16,104900131,4518,성수SKV1센터1동,127.065585,37.545818
Point (127.06305799999999806 37.54657600000000173),103900008,성동10,17,103900296,4526,성수이비즈센터,127.063058,37.546576
Point (127.06008900000000494 37.54351400000000183),103900008,성동10,18,103900297,4533,경수중학교입구,127.060089,37.543514
Point (127.05763799999999719 37.54426800000000242),103900008,성동10,19,103900298,4540,성수역2번출구,127.057638,37.544268
Point (127.05383000000000493 37.54542000000000002),103900008,성동10,20,103000138,4240,성수역1번출구,127.05383,37.54542
Point (127.05115499999999429 37.54589500000000157),103900008,성동10,21,103900299,4547,경동초등학교입구,127.051155,37.545895
Point (127.03756500000000074 37.54345699999999653),103900010,성동13,3,103000162,4264,뚝섬서울숲,127.037565,37.543457
Point (127.04297440000000563 37.54197811000000229),103900010,성동13,4,103000164,4266,서울숲1번출입구,127.0429744,37.54197811
Point (127.04469199999999773 37.54295799999999872),103900010,성동13,5,103000078,4177,서울숲역2번출구,127.044692,37.542958
Point (127.0491310000000027 37.54231599999999958),103900010,성동13,6,103900251,4852,경일중고등학교,127.049131,37.542316
Point (127.05031499999999767 37.53997242999999884),103900010,성동13,7,103000082,4181,성원중학교후문,127.050315,37.53997243
Point (127.05228400000000022 37.54012099999999919),103900010,성동13,8,103900253,4854,이마트.서울숲힐스테이트아파트,127.052284,37.540121
Point (127.05398999999999887 37.54141099999999653),103900010,성동13,9,103900254,4855,서울숲코오롱디지털타워2차,127.05399,37.541411
Point (127.05473899999999787 37.54007599999999911),103900010,성동13,10,103900255,4856,서울경찰청제6기동단,127.054739,37.540076
Point (127.05531999999999471 37.53964700000000221),103900010,성동13,11,103900256,4857,한라시그마밸리앞,127.05532,37.539647
Point (127.05706100000000447 37.54384199999999794),103900010,성동13,12,103900257,4858,성수역3번출구,127.057061,37.543842
Point (127.05669070000000431 37.54355982999999952),103900010,성동13,13,103900233,4862,성수역3번출구,127.0566907,37.54355983
Point (127.05517860000000496 37.53990607000000068),103900010,성동13,14,103900235,4864,한라시그마밸리,127.0551786,37.53990607
Point (127.05477199999999982 37.54022799999999904),103900010,성동13,15,103900236,4865,서울경찰청제6기동단,127.054772,37.540228
Point (127.05384800000000212 37.54146099999999819),103900010,성동13,16,103900258,4859,서울숲코오롱디지털타워2차,127.053848,37.541461
Point (127.05257000000000289 37.5405280000000019),103900010,성동13,17,103900259,4860,이마트.서울숲힐스테이트아파트,127.05257,37.540528
